CMDLINE /opt/anaconda3/envs/classifier/bin/python3.11 prot2.py
MEM 3472.046875 1747317027.6079
MEM 3472.203125 1747317027.7191
MEM 3483.515625 1747317027.8313
MEM 3486.125000 1747317027.9435
MEM 3450.843750 1747317028.0517
MEM 3439.750000 1747317028.1632
MEM 3443.281250 1747317028.2772
MEM 3428.937500 1747317028.3920
MEM 3372.937500 1747317028.5084
MEM 3362.515625 1747317028.6200
MEM 3363.265625 1747317028.7338
MEM 3361.890625 1747317028.8428
MEM 3365.671875 1747317028.9559
MEM 3390.921875 1747317029.0680
MEM 3391.328125 1747317029.1767
MEM 3383.750000 1747317029.2897
MEM 3408.984375 1747317029.4003
MEM 3405.406250 1747317029.5130
MEM 3407.750000 1747317029.6214
MEM 3386.562500 1747317029.7304
MEM 3378.984375 1747317029.8444
MEM 3380.390625 1747317029.9543
MEM 3391.343750 1747317030.0636
MEM 3391.718750 1747317030.1763
MEM 3384.343750 1747317030.2837
MEM 3411.546875 1747317030.3948
MEM 3402.328125 1747317030.5074
MEM 3410.578125 1747317030.6197
MEM 3420.734375 1747317030.7322
MEM 3412.656250 1747317030.8445
MEM 3419.937500 1747317030.9585
MEM 3397.734375 1747317031.0677
MEM 3394.968750 1747317031.1800
MEM 3382.609375 1747317031.2917
MEM 3380.328125 1747317031.4001
MEM 3342.843750 1747317031.5145
MEM 3323.796875 1747317031.6267
MEM 3328.125000 1747317031.7408
MEM 3297.562500 1747317031.8545
MEM 3285.140625 1747317031.9685
MEM 3298.468750 1747317032.0820
MEM 3306.843750 1747317032.1938
MEM 3314.375000 1747317032.3077
MEM 3326.687500 1747317032.4174
MEM 3319.343750 1747317032.5275
MEM 3328.250000 1747317032.6393
MEM 3348.015625 1747317032.7524
MEM 3364.093750 1747317032.8652
MEM 3383.484375 1747317032.9777
MEM 3391.062500 1747317033.0852
MEM 3398.500000 1747317033.1974
MEM 3391.125000 1747317033.3084
MEM 3393.156250 1747317033.4209
MEM 3390.968750 1747317033.5330
MEM 3394.937500 1747317033.6462
MEM 3369.343750 1747317033.7587
MEM 3387.062500 1747317033.8704
MEM 3381.015625 1747317033.9820
MEM 3363.875000 1747317034.0956
MEM 3375.718750 1747317034.2109
MEM 3379.296875 1747317034.3233
MEM 3399.609375 1747317034.4324
MEM 3404.859375 1747317034.5445
MEM 3416.171875 1747317034.6556
MEM 3410.515625 1747317034.7679
MEM 3411.218750 1747317034.8763
MEM 3380.968750 1747317034.9892
MEM 3380.171875 1747317035.1011
MEM 3381.343750 1747317035.2107
MEM 3404.234375 1747317035.3242
MEM 3389.453125 1747317035.4336
MEM 3412.671875 1747317035.5476
MEM 3420.359375 1747317035.6561
MEM 3422.453125 1747317035.7677
MEM 3425.421875 1747317035.8775
MEM 3438.671875 1747317035.9843
MEM 3443.187500 1747317036.0961
MEM 3447.781250 1747317036.2073
MEM 3438.609375 1747317036.3193
MEM 3452.031250 1747317036.4272
MEM 3436.218750 1747317036.5393
MEM 3444.718750 1747317036.6520
MEM 3435.312500 1747317036.7608
MEM 3441.500000 1747317036.8745
MEM 3449.843750 1747317036.9835
MEM 3451.687500 1747317037.0943
MEM 3439.781250 1747317037.2068
MEM 3447.593750 1747317037.3206
MEM 3454.968750 1747317037.4309
